,drug_name,disease_name,protein_name
0,imatinib,"chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 1, non-receptor tyrosine kinase"
1,imatinib,systemic mastocytosis,"kit proto-oncogene, receptor tyrosine kinase"
2,imatinib,systemic mastocytosis,platelet derived growth factor receptor alpha
3,paracetamol,pain,prostaglandin-endoperoxide synthase 1
4,paracetamol,pain,prostaglandin-endoperoxide synthase 2
5,paracetamol,pain,prostaglandin e synthase 3
6,aspirin,pain,prostaglandin-endoperoxide synthase 1
7,aspirin,pain,prostaglandin-endoperoxide synthase 2
8,aspirin,thrombotic disease,prostaglandin-endoperoxide synthase 1
9,naproxen,pain,prostaglandin-endoperoxide synthase 2
10,cortisone,keratitis,nuclear receptor subfamily 3 group c member 1
11,dexamethasone,tenosynovitis,nuclear receptor subfamily 3 group c member 1
12,pinacidil,hypertensive disorder,potassium calcium-activated channel subfamily m alpha 1
13,antazoline,vasomotor rhinitis,histamine receptor h1
14,levofloxacin,pyelonephritis,dna topoisomerase ii alpha
15,meloxicam,pain,prostaglandin-endoperoxide synthase 2
16,fluticasone,bronchitis,nuclear receptor subfamily 3 group c member 1
17,fluphenazine,schizophrenia,dopamine receptor d2
18,fluphenazine,schizophrenia,dopamine receptor d1
19,terfenadine,allergic contact dermatitis,histamine receptor h1
20,norethisterone,menorrhagia,progesterone receptor
21,ziprasidone,schizophrenia,dopamine receptor d2
22,ziprasidone,schizophrenia,5-hydroxytryptamine receptor 2a
23,carbinoxamine,atopic conjunctivitis,histamine receptor h1
24,fsh,primary ovarian failure,follicle stimulating hormone receptor
25,warfarin,pulmonary embolism,vitamin k epoxide reductase complex subunit 1
26,loratadine,allergic rhinitis,histamine receptor h1
27,oxymetazoline,nasal congestion,adrenoceptor alpha 1a
28,duloxetine,major depressive disorder,solute carrier family 6 member 4
29,doxylamine,allergic rhinitis,histamine receptor h1
30,minoxidil,alopecia,potassium inwardly rectifying channel subfamily j member 1
31,minoxidil,hypertensive disorder,potassium inwardly rectifying channel subfamily j member 1
32,sildenafil,erectile dysfunction,phosphodiesterase 5a
33,betamethasone,crohn disease,nuclear receptor subfamily 3 group c member 1
